fov,sep,width,vel,dps,foot,,,,,,,,
3.7,1193,3228.983,100,42,74.094,,,,,,,,
3.7,1195,3226.024,100,42,74.2443,,,,,,,,
3.7,1197,3223.057,100,42,74.395,,,,,,,,
3.7,1199,3220.082,100,42,74.5459,,,,,,,,
3.7,1201,3217.099,100,42,74.6971,,,,,,,,
3.7,1203,3214.108,100,42,74.8486,,,,,,,,
3.7,1205,3211.11,100,42,75.0003,,,,,,,,
3.7,1207,3208.104,100,42,75.1523,,,,,,,,
3.7,1209,3205.091,100,42,75.3046,,,,,,,,
3.7,1211,3202.069,100,42,75.4571,,,,,,,,
3.7,1213,3199.039,100,42,75.6099,,,,,,,,
3.7,1215,3196.002,100,42,75.763,,,,,,,,
3.7,1217,3192.957,100,42,75.9163,,,,,,,,
3.7,1219,3189.904,100,42,76.07,,,,,,,,
3.7,1221,3186.843,100,42,76.2239,,,,,,,,
3.7,1223,3183.773,105,42,76.2432,,,,,,,,
3.7,1225,3180.696,105,42,76.3976,,,,,,,,
3.7,1227,3177.611,105,42,76.5523,,,,,,,,
3.7,1229,3174.518,105,42,76.7072,,,,,,,,
3.7,1231,3171.417,105,42,76.8624,,,,,,,,
3.7,1233,3168.308,105,42,77.0178,,,,,,,,
3.7,1235,3165.19,105,42,77.1736,,,,,,,,
3.7,1237,3162.065,105,44,77.4585,,,,,,,,
3.7,1239,3158.931,110,44,77.4859,,,,,,,,
3.7,1241,3155.789,110,44,77.6424,,,,,,,,
3.7,1243,3152.639,110,44,77.7993,,,,,,,,
3.7,1245,3149.481,110,44,77.9564,,,,,,,,
3.7,1247,3146.314,110,44,78.1137,,,,,,,,
3.7,1249,3143.139,115,44,78.1422,,,,,,,,
3.7,1251,3139.956,115,44,78.3001,,,,,,,,
3.7,1253,3136.765,115,44,78.4582,,,,,,,,
3.7,1255,3133.565,115,44,78.6166,,,,,,,,
3.7,1257,3130.357,115,44,78.7753,,,,,,,,
3.7,1259,3127.14,115,44,78.9343,,,,,,,,
3.7,1261,3123.915,115,44,79.0935,,,,,,,,
3.7,1263,3120.682,115,44,79.2531,,,,,,,,
3.7,1265,3117.44,115,44,79.4128,,,,,,,,
3.7,1267,3114.189,115,44,79.5729,,,,,,,,
3.7,1269,3110.93,115,44,79.7332,,,,,,,,
3.7,1271,3107.662,115,44,79.8938,,,,,,,,
3.7,1273,3104.386,115,44,80.0547,,,,,,,,
3.7,1275,3101.101,120,44,80.0863,,,,,,,,
3.7,1277,3097.808,120,44,80.2477,,,,,,,,
3.7,1279,3094.506,120,44,80.4094,,,,,,,,
3.7,1281,3091.195,120,44,80.5713,,,,,,,,
3.7,1283,3087.875,120,44,80.7336,,,,,,,,
3.7,1285,3084.547,120,44,80.896,,,,,,,,
3.7,1287,3081.21,120,44,81.0588,,,,,,,,
3.7,1289,3077.864,120,44,81.2219,,,,,,,,
3.7,1291,3074.509,120,44,81.3852,,,,,,,,
3.7,1293,3071.145,120,44,81.5488,,,,,,,,
3.7,1295,3067.773,120,44,81.7126,,,,,,,,
3.7,1297,3064.391,120,46,82.0121,,,,,,,,
3.7,1299,3061.001,125,46,82.0525,,,,,,,,
3.7,1301,3057.601,125,46,82.2171,,,,,,,,
3.7,1303,3054.193,125,46,82.3821,,,,,,,,
3.7,1305,3050.775,125,46,82.5473,,,,,,,,
3.7,1307,3047.349,125,46,82.7129,,,,,,,,
3.7,1309,3043.913,125,46,82.8786,,,,,,,,
3.7,1311,3040.468,125,46,83.0447,,,,,,,,
3.7,1313,3037.014,125,46,83.211,,,,,,,,
3.7,1315,3033.551,125,46,83.3776,,,,,,,,
3.7,1317,3030.078,125,46,83.5445,,,,,,,,
3.7,1319,3026.596,125,46,83.7117,,,,,,,,
3.7,1321,3023.105,125,46,83.8791,,,,,,,,
3.7,1323,3019.605,130,44,83.7758,,,,,,,,
3.7,1325,3016.095,130,44,83.9438,,,,,,,,
3.7,1327,3012.576,130,44,84.112,,,,,,,,
3.7,1329,3009.047,130,44,84.2806,,,,,,,,
3.7,1331,3005.509,130,44,84.4494,,,,,,,,
3.7,1333,3001.962,130,44,84.6185,,,,,,,,
3.7,1335,2998.404,130,44,84.7878,,,,,,,,
3.7,1337,2994.838,130,44,84.9575,,,,,,,,
3.7,1339,2991.261,135,46,85.15,,,,,,,,
3.7,1341,2987.676,140,46,85.1959,,,,,,,,
3.7,1343,2984.08,140,46,85.3664,,,,,,,,
3.7,1345,2980.475,140,60,86.3482,,,,,,,,
3.7,1347,2976.86,140,60,86.5191,,,,,,,,
3.7,1349,2973.235,140,60,86.6904,,,,,,,,
3.7,1351,2969.6,140,60,86.8619,,,,,,,,
3.7,1353,2965.956,140,60,87.0337,,,,,,,,
3.7,1355,2962.301,140,60,87.2058,,,,,,,,
3.7,1357,2958.637,140,60,87.3781,,,,,,,,
3.7,1359,2954.963,140,60,87.5507,,,,,,,,
3.7,1361,2951.279,140,46,86.9132,,,,,,,,
3.7,1363,2947.584,140,46,87.0865,,,,,,,,
3.7,1365,2943.88,140,46,87.26,,,,,,,,
3.7,1367,2940.166,140,46,87.4338,,,,,,,,
3.7,1369,2936.441,140,46,87.6079,,,,,,,,
3.7,1371,2932.706,140,46,87.7823,,,,,,,,
3.7,1373,2928.961,140,60,88.7666,,,,,,,,
3.7,1375,2925.206,140,60,88.9414,,,,,,,,
3.7,1377,2921.44,140,60,89.1165,,,,,,,,
3.7,1379,2917.664,140,60,89.2918,,,,,,,,
3.7,1381,2913.878,140,60,89.4674,,,,,,,,
3.7,1383,2910.081,140,60,89.6433,,,,,,,,
3.7,1385,2906.274,140,60,89.8195,,,,,,,,
3.7,1387,2902.456,140,60,89.9959,,,,,,,,
3.7,1389,2898.628,140,60,90.1726,,,,,,,,
3.7,1391,2894.789,140,60,90.3496,,,,,,,,
3.7,1393,2890.94,140,60,90.5268,,,,,,,,
3.7,1395,2887.08,140,60,90.7044,,,,,,,,
