fov,sep,width,vel,dps,foot
1.2,1360,138.373528,140,14,37.03229191
1.3,1345,425.9662349,100,14,38.89977857
1.3,1350,357.1375551,120,14,39.13798634
1.3,1355,271.0115002,140,14,39.48547487
1.3,1360,138.373528,140,16,40.16993798
1.4,1340,484.9198215,105,16,41.58813041
1.4,1345,425.9662349,125,16,41.8036549
1.4,1350,357.1375551,140,16,42.12979627
1.4,1355,271.0115002,140,16,42.63090443
1.4,1360,138.373528,140,16,43.26128175
1.5,1330,584.7625443,105,18,43.92690088
1.5,1335,537.2590002,115,18,44.19735969
1.5,1340,484.9198215,130,18,44.45255502
1.5,1345,425.9662349,140,18,44.79598401
1.5,1350,357.1375551,140,18,45.25769918
1.5,1355,271.0115002,140,18,45.76634291
1.5,1360,138.373528,140,18,46.39812759
1.6,1275,563.5821062,110,20,43.75032567
1.6,1280,516.2603901,115,20,44.08116165
1.6,1285,463.9232592,140,20,44.26628393
1.6,1290,404.6292012,140,20,44.70170978
1.6,1295,334.7010463,140,20,45.165476
1.6,1300,245.2035694,140,20,45.68013756
1.7,1205,605.2472275,100,20,42.37645179
1.7,1210,563.9363496,105,20,42.68612797
1.7,1215,519.1572078,120,20,42.91368541
1.7,1220,469.9193616,130,20,43.22398532
1.7,1225,414.6374397,140,20,43.57058313
1.7,1230,350.462846,140,20,44.03230504
1.7,1235,271.1534739,140,20,44.53632404
1.7,1240,154.99744,140,22,45.17807915
1.8,1145,605.8064973,100,22,41.4190667
1.8,1150,566.658197,110,22,41.67382153
1.8,1155,524.4058659,120,22,41.95075905
1.8,1160,478.2274691,130,22,42.25375194
1.8,1165,426.8506908,140,22,42.58847067
1.8,1170,368.1053005,140,22,43.03159319
1.8,1175,297.6600615,140,22,43.50664979
1.8,1180,203.7191995,140,22,44.04404555
1.9,1090,603.5312352,105,24,40.49263829
1.9,1095,566.1713097,110,24,40.79981023
1.9,1100,525.9752389,120,24,41.07426445
1.9,1105,482.234333,135,24,41.32974092
1.9,1110,433.8778076,140,24,41.69898236
1.9,1115,379.1437088,140,24,42.12869428
1.9,1120,314.7220232,140,24,42.58447781
1.9,1125,232.7014222,140,24,43.08590337
1.9,1130,95.13123521,140,24,43.7274185
2,1040,594.8405229,100,24,39.70827263
2,1045,558.6906548,105,24,40.01257213
2,1050,519.8415602,115,24,40.28234512
2,1055,477.6350571,125,24,40.57561235
2,1060,431.0861257,140,24,40.85685789
2,1065,378.596418,140,26,41.36554506
2,1070,317.2305908,140,26,41.81078246
