fov,sep,width,vel,dps,foot
1.2,1360,138.37352800373452,140,14,37.03229190738362
1.3,1345,425.9662348733762,100,14,38.89977857145193
1.3,1350,357.1375550851524,120,14,39.137986343991805
1.3,1355,271.0115002213011,140,14,39.4854748744146
1.3,1360,138.37352800373452,140,16,40.16993797663056
1.4,1340,484.91982146763223,105,16,41.58813040888022
1.4,1345,425.9662348733762,125,16,41.80365489563573
1.4,1350,357.1375550851524,140,16,42.12979627394255
1.4,1355,271.0115002213011,140,16,42.63090442846243
1.4,1360,138.37352800373452,140,16,43.26128174561569
1.5,1330,584.7625443307738,105,18,43.926900881376596
1.5,1335,537.2590001593276,115,18,44.19735969080685
1.5,1340,484.91982146763223,130,18,44.45255502133139
1.5,1345,425.9662348733762,140,18,44.795984006880076
1.5,1350,357.1375550851524,140,18,45.25769917504185
1.5,1355,271.0115002213011,140,18,45.766342909651065
1.5,1360,138.37352800373452,140,18,46.39812759253755
1.6,1275,563.5821061977265,110,20,43.75032566829695
1.6,1280,516.2603901387995,115,20,44.08116165233966
1.6,1285,463.92325919947734,140,20,44.26628393189833
1.6,1290,404.62920115368024,140,20,44.701709780051615
1.6,1295,334.7010463477302,140,20,45.16547600283894
1.6,1300,245.20356935873804,140,20,45.680137564260406
1.7,1205,605.2472275152633,100,20,42.37645179257011
1.7,1210,563.9363496130683,105,20,42.68612796989968
1.7,1215,519.1572078040647,120,20,42.91368541478717
1.7,1220,469.9193616088965,130,20,43.223985324607646
1.7,1225,414.6374397168119,140,20,43.57058312583885
1.7,1230,350.4628459835833,140,20,44.032305038945076
1.7,1235,271.15347391267704,140,20,44.53632404231145
1.7,1240,154.9974400269657,140,22,45.178079152202194
1.8,1145,605.8064973444442,100,22,41.41906669847492
1.8,1150,566.6581969977528,110,22,41.67382152600404
1.8,1155,524.4058659328136,120,22,41.950759052894824
1.8,1160,478.2274691239976,130,22,42.25375194075305
1.8,1165,426.850690786303,140,22,42.58847066526647
1.8,1170,368.10530045727955,140,22,43.03159319284612
1.8,1175,297.6600615210984,140,22,43.50664978855329
1.8,1180,203.71919945047907,140,22,44.04404555121138
1.9,1090,603.5312352421923,105,24,40.49263828795745
1.9,1095,566.1713096872417,110,24,40.79981022839782
1.9,1100,525.9752388781876,120,24,41.07426444827644
1.9,1105,482.23433298860687,135,24,41.32974091578502
1.9,1110,433.877807582926,140,24,41.698982356087456
1.9,1115,379.1437087872705,140,24,42.12869427920943
1.9,1120,314.7220232410922,140,24,42.58447780525153
1.9,1125,232.70142224096216,140,24,43.08590337463901
1.9,1130,95.13123521202989,140,24,43.72741850430073
2.0,1040,594.8405229384948,100,24,39.70827263248636
2.0,1045,558.6906547721574,105,24,40.012572133233355
2.0,1050,519.8415602178629,115,24,40.28234511991121
2.0,1055,477.6350570568936,125,24,40.57561234533325
2.0,1060,431.08612565210444,140,24,40.85685788962148
2.0,1065,378.59641800965574,140,26,41.36554505985141
2.0,1070,317.2305907849083,140,26,41.81078245582518
2.0,1075,240.281600897243,140,26,42.29583024283255
2.0,1080,120.97622795302377,140,26,42.885234206601105
2.1,995,577.0476213652414,105,26,39.06454361101666
2.1,1000,541.3722908713402,110,26,39.37348435620062
2.1,1005,502.975106067172,120,26,39.65091912783438
2.1,1010,461.1767094328192,135,26,39.90989909142738
2.1,1015,414.9505480455267,140,26,40.28002607225279
2.1,1020,362.60716667391307,140,26,40.7094699623098
2.1,1025,300.9716885743291,140,26,41.16466303151842
2.1,1030,222.4498984564456,140,28,41.705099309173924
2.2,950,578.7401312074207,105,28,38.30328456157328
2.2,955,544.8303767871084,110,28,38.60821369856914
2.2,960,508.46842524387154,120,28,38.88118655415385
2.2,965,469.08436284956525,130,28,39.1752801139068
2.2,970,425.84050942809864,140,28,39.49425794208648
2.2,975,377.41242622624736,140,28,39.91060083819222
2.2,980,321.4656116445157,140,28,40.34754792081267
2.2,985,253.06153297169166,140,28,40.81743773881389
2.2,990,156.65292678396594,140,30,41.38453422160016
2.3,905,597.8943093655363,100,30,37.4449618948034
2.3,910,566.7253348595699,105,30,37.73893733177977
2.3,915,533.5518767389837,115,30,37.9982965085034
2.3,920,497.97349846321305,125,30,38.27553926972034
2.3,925,459.43182864456793,135,30,38.57329655684338
2.3,930,417.1062276826991,140,30,38.93113282138578
2.3,935,369.6993442943761,140,30,39.342682132010644
2.3,940,314.92476112826,140,30,39.77423783219504
2.3,945,247.9467789096919,140,30,40.23746651067261
2.3,950,153.55000869974455,140,30,40.769086863992015
2.4,870,566.8483951317967,100,30,37.034135776251894
2.4,875,535.1795054591436,105,32,37.394830323504756
2.4,880,501.3153728577386,125,32,37.57929154443253
2.4,885,464.7764011473619,135,32,37.87127478838322
2.4,890,424.87304346533153,140,32,38.22085291154193
2.4,895,380.54842407175136,140,32,38.622137552673884
2.4,900,330.02591271518895,140,32,39.04013152964273
2.4,905,269.84644348868767,140,32,39.483244384340004
2.4,910,191.0944872660996,140,32,39.97259010447215
2.5,830,580.6495639435019,100,32,36.23747640044964
2.5,835,551.2294586719571,105,32,36.5287344556876
2.5,840,519.9556866770272,110,32,36.83034949983683
2.5,845,486.47087899254456,120,32,37.10153234838489
2.5,850,450.2820406231842,130,32,37.39218618429605
2.5,855,410.67495188747375,140,34,37.76451896959602
2.5,860,366.54319814692906,140,34,38.163500008752195
2.5,865,315.9967026849788,140,34,38.579529313915636
2.5,870,255.2526515195854,140,34,39.02163536737752
2.5,875,173.93652896323678,140,34,39.51374412008717
2.6,795,575.5089040616272,100,34,35.68343805400499
2.6,800,547.0927696965251,105,34,35.97216511697191
2.6,805,516.9240743612306,115,34,36.22725728280693
