fov,sep,width,vel,dps,foot
1.2,2418.0,1220.879,100.0,12.0,68.6757
1.2,2420.0,1204.924,100.0,12.0,68.7958
1.2,2422.0,1188.741,100.0,12.0,68.9162
1.2,2424.0,1172.321,100.0,12.0,69.0371
1.2,2426.0,1155.655,105.0,12.0,69.0801
1.2,2428.0,1138.73,105.0,12.0,69.203
1.2,2430.0,1121.535,110.0,12.0,69.2503
1.2,2432.0,1104.059,110.0,12.0,69.3754
1.2,2434.0,1086.286,110.0,12.0,69.501
1.2,2436.0,1068.203,115.0,12.0,69.5546
1.2,2438.0,1049.793,115.0,12.0,69.6826
1.2,2440.0,1031.039,120.0,12.0,69.7411
1.2,2442.0,1011.922,120.0,12.0,69.8717
1.2,2444.0,992.42,125.0,12.0,69.9354
1.2,2446.0,972.511,125.0,12.0,70.0689
1.2,2448.0,952.169,130.0,12.0,70.1382
1.2,2450.0,931.365,135.0,12.0,70.2113
1.2,2452.0,910.069,135.0,12.0,70.3503
1.2,2454.0,888.244,140.0,12.0,70.4297
1.2,2456.0,865.851,140.0,12.0,70.5725
1.2,2458.0,842.844,140.0,12.0,70.7166
1.2,2460.0,819.171,140.0,12.0,70.8621
1.2,2462.0,794.774,140.0,12.0,71.0091
1.2,2464.0,769.583,140.0,12.0,71.1577
1.2,2466.0,743.517,140.0,12.0,71.3081
1.2,2468.0,716.481,140.0,12.0,71.4605
1.2,2470.0,688.361,140.0,12.0,71.6151
1.2,2472.0,659.018,140.0,12.0,71.7721
1.2,2474.0,628.281,140.0,12.0,71.9319
1.2,2476.0,595.934,140.0,12.0,72.095
1.2,2478.0,561.699,140.0,12.0,72.2617
1.2,2480.0,525.206,140.0,12.0,72.4329
1.2,2482.0,485.948,140.0,12.0,72.6096
1.2,2484.0,443.19,140.0,12.0,72.793
1.2,2486.0,395.8,140.0,12.0,72.9854
1.2,2488.0,341.856,140.0,12.0,73.1905
1.2,2490.0,277.563,140.0,12.0,73.4155
1.2,2492.0,192.835,140.0,12.0,73.6797
1.4,2128.0,1182.309,100.0,14.0,64.6584
1.4,2130.0,1167.814,100.0,14.0,64.779
1.4,2132.0,1153.124,100.0,14.0,64.9
1.4,2134.0,1138.229,100.0,14.0,65.0214
1.4,2136.0,1123.123,105.0,14.0,65.0673
1.4,2138.0,1107.797,105.0,14.0,65.1905
1.4,2140.0,1092.241,105.0,14.0,65.3141
1.4,2142.0,1076.445,110.0,14.0,65.3653
