fov,sep,width,vel,dps,foot,,,,,,,,
1.2,4550,2224.208568,140,14,349.3936471,,,,,,,,
1.2,4555,2182.888855,140,14,350.2678295,,,,,,,,
1.2,4560,2140.725053,140,14,351.1449107,,,,,,,,
1.2,4565,2097.666264,140,14,352.0257895,,,,,,,,
1.2,4570,2053.656192,140,14,352.9098807,,,,,,,,
1.2,4575,2008.632309,140,14,353.7977887,,,,,,,,
1.2,4580,1962.524842,140,14,354.6895237,,,,,,,,
1.2,4585,1915.255532,140,14,355.5856939,,,,,,,,
1.2,4590,1866.736123,140,14,356.4860129,,,,,,,,
1.2,4595,1816.866466,140,14,357.3907917,,,,,,,,
1.2,4600,1765.532145,140,14,358.3006435,,,,,,,,
1.2,4605,1712.601458,140,14,359.2158838,,,,,,,,
1.2,4610,1657.921516,140,14,360.1368299,,,,,,,,
1.2,4615,1601.313134,140,14,361.0638007,,,,,,,,
1.2,4620,1542.564019,140,14,361.9977202,,,,,,,,
1.2,4625,1481.419506,140,14,362.938913,,,,,,,,
1.2,4630,1417.569665,140,14,363.8886129,,,,,,,,
1.2,4635,1350.630873,140,14,364.8474547,,,,,,,,
1.2,4640,1280.118648,140,14,365.8172895,,,,,,,,
1.2,4645,1205.406054,140,14,366.7990679,,,,,,,,
1.2,4650,1125.657032,140,14,367.79557,,,,,,,,
1.2,4655,1039.713304,140,14,368.8098967,,,,,,,,
1.2,4660,945.8878127,140,14,369.8466914,,,,,,,,
1.2,4665,841.5484265,140,14,370.9127632,,,,,,,,
1.2,4670,722.1521683,140,14,372.0204686,,,,,,,,
1.2,4675,578.4494396,140,14,373.1944983,,,,,,,,
1.2,4680,384.0621748,140,14,374.5063608,,,,,,,,
1.3,4550,2224.208568,140,16,379.4072729,,,,,,,,
1.3,4555,2182.888855,140,16,380.3403669,,,,,,,,
1.3,4560,2140.725053,140,16,381.2765668,,,,,,,,
1.3,4565,2097.666264,140,16,382.2158801,,,,,,,,
1.3,4570,2053.656192,140,16,383.1589601,,,,,,,,
1.3,4575,2008.632309,140,16,384.1054932,,,,,,,,
1.3,4580,1962.524842,140,16,385.0558119,,,,,,,,
1.3,4585,1915.255532,140,16,386.0102501,,,,,,,,
1.3,4590,1866.736123,140,16,386.9691438,,,,,,,,
1.3,4595,1816.866466,140,16,387.9321801,,,,,,,,
1.3,4600,1765.532145,140,16,388.9003468,,,,,,,,
1.3,4605,1712.601458,140,16,389.8733329,,,,,,,,
1.3,4610,1657.921516,140,16,390.8521311,,,,,,,,
1.3,4615,1601.313134,140,16,391.8367591,,,,,,,,
1.3,4620,1542.564019,140,16,392.8278888,,,,,,,,
1.3,4625,1481.419506,140,16,393.8261958,,,,,,,,
1.3,4630,1417.569665,140,16,394.832687,,,,,,,,
1.3,4635,1350.630873,140,16,395.8480463,,,,,,,,
1.3,4640,1280.118648,140,16,396.8736191,,,,,,,,
1.3,4645,1205.406054,140,16,397.9110873,,,,,,,,
1.3,4650,1125.657032,140,16,398.9624716,,,,,,,,
1.3,4655,1039.713304,140,16,400.0307947,,,,,,,,
1.3,4660,945.8878127,140,16,401.1204191,,,,,,,,
1.3,4665,841.5484265,140,16,402.2380505,,,,,,,,
1.3,4670,722.1521683,140,16,403.395409,,,,,,,,
1.3,4675,578.4494396,140,16,404.6159125,,,,,,,,
1.3,4680,384.0621748,140,16,405.967051,,,,,,,,
1.4,4550,2224.208568,140,18,409.3762282,,,,,,,,
1.4,4555,2182.888855,140,18,410.3693128,,,,,,,,
1.4,4560,2140.725053,140,18,411.3657143,,,,,,,,
1.4,4565,2097.666264,140,18,412.3654406,,,,,,,,
1.4,4570,2053.656192,140,18,413.3688479,,,,,,,,
1.4,4575,2008.632309,140,18,414.3755963,,,,,,,,
1.4,4580,1962.524842,140,18,415.3860431,,,,,,,,
1.4,4585,1915.255532,140,18,416.4005471,,,,,,,,
1.4,4590,1866.736123,140,18,417.4191186,,,,,,,,
1.4,4595,1816.866466,140,18,418.4424694,,,,,,,,
1.4,4600,1765.532145,140,18,419.4702617,,,,,,,,
1.4,4605,1712.601458,140,18,420.5032101,,,,,,,,
1.4,4610,1657.921516,140,18,421.5413293,,,,,,,,
1.4,4615,1601.313134,140,18,422.5853386,,,,,,,,
1.4,4620,1542.564019,140,18,423.6359609,,,,,,,,
1.4,4625,1481.419506,140,18,424.6935695,,,,,,,,
1.4,4630,1417.569665,140,18,425.7585398,,,,,,,,
1.4,4635,1350.630873,140,18,426.8326652,,,,,,,,
1.4,4640,1280.118648,140,18,427.9166852,,,,,,,,
1.4,4645,1205.406054,140,18,429.012053,,,,,,,,
1.4,4650,1125.657032,140,18,430.1205849,,,,,,,,
1.4,4655,1039.713304,140,18,431.2458871,,,,,,,,
1.4,4660,945.8878127,140,18,432.3915854,,,,,,,,
1.4,4665,841.5484265,140,18,433.5641817,,,,,,,,
1.4,4670,722.1521683,140,18,434.7748621,,,,,,,,
1.4,4675,578.4494396,140,18,436.0459773,,,,,,,,
1.4,4680,384.0621748,140,18,437.4426887,,,,,,,,
1.5,4550,2224.208568,140,18,438.7487777,,,,,,,,
1.5,4555,2182.888855,140,18,439.8134331,,,,,,,,
1.5,4560,2140.725053,140,18,440.881646,,,,,,,,
1.5,4565,2097.666264,140,18,441.9534248,,,,,,,,
1.5,4570,2053.656192,140,18,443.0291514,,,,,,,,
1.5,4575,2008.632309,140,18,444.1084617,,,,,,,,
1.5,4580,1962.524842,140,18,445.1917384,,,,,,,,
1.5,4585,1915.255532,140,18,446.2793663,,,,,,,,
1.5,4590,1866.736123,140,18,447.3713566,,,,,,,,
1.5,4595,1816.866466,140,18,448.4684723,,,,,,,,
1.5,4600,1765.532145,140,18,449.5703512,,,,,,,,
