sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
0,0,826609966434,0.000,4.798352,37.911613000,128.181880000,1473.000000,2533.317394,1898.299530,-635.017864,-25.066652,0.662358,7.739507,8.145139,8.115796,7.006573,7.751754,8.145139,37.910213000,128.181880000,37.910213000,128.181880000,37.910090000,128.182300000,37.910069878,128.182215650,37.909992000,128.181530000,37.910064428,128.181543164,37.910320000,128.181460000,37.910353568,128.181542028,37.910420000,128.182220000,37.910357103,128.182217024
1,1,826609966638,0.204,4.798352,37.911575000,128.181820000,1473.000000,2505.453841,1893.727224,-611.726617,-24.415801,0.346421,8.971288,8.735708,9.515099,8.667318,8.972353,9.515099,37.910187000,128.181870000,37.910187000,128.181870000,37.910090000,128.182300000,37.910051415,128.182210323,37.909954000,128.181550000,37.910032009,128.181539191,37.910270000,128.181440000,37.910320308,128.181527586,37.910416000,128.182190000,37.910338650,128.182201274
2,2,826609966841,0.407,4.798352,37.911537000,128.181760000,1474.000000,2478.567733,1892.356765,-586.210968,-23.651198,0.329665,9.602209,9.694743,10.094603,9.783003,9.793639,10.094603,37.910168000,128.181840000,37.910168000,128.181840000,37.910090000,128.182270000,37.910037405,128.182183345,37.909924000,128.181530000,37.910010033,128.181512856,37.910236000,128.181410000,37.910297354,128.181494634,37.910410000,128.182140000,37.910324899,128.182167799
3,3,826609967044,0.610,4.798352,37.911503000,128.181700000,1475.000000,2480.914618,1892.003630,-588.910988,-23.737656,1.091619,10.526065,10.557109,12.142982,11.727817,11.238493,12.142982,37.910156000,128.181800000,37.910156000,128.181800000,37.910103000,128.182220000,37.910028911,128.182145533,37.909904000,128.181500000,37.909996840,128.181475469,37.910210000,128.181350000,37.910283167,128.181452544,37.910416000,128.182080000,37.910316903,128.182125330
4,4,826609967231,0.797,4.097963,37.911465000,128.181640000,1476.000000,1840.046249,1373.033213,-467.013036,-25.380505,1.245781,7.866443,8.262180,8.523720,9.376891,8.507309,9.376891,37.909588000,128.181580000,37.909588000,128.181580000,37.909496000,128.181930000,37.909447944,128.181864334,37.909412000,128.181290000,37.909486207,128.181291791,37.909695000,128.181210000,37.909726004,128.181298737,37.909780000,128.181850000,37.909697568,128.181871963
5,5,826609967435,1.001,4.097963,37.911427000,128.181560000,1477.000000,1846.562362,1406.980273,-439.582089,-23.805429,0.525628,8.860957,9.208533,8.015131,8.438332,8.630738,9.208533,37.909016000,128.180400000,37.909016000,128.180400000,37.908850000,128.180710000,37.908827390,128.180613268,37.908875000,128.180050000,37.908956990,128.180063912,37.909172000,128.180100000,37.909200418,128.180183849,37.909130000,128.180740000,37.909055537,128.180722018
6,6,826609967638,1.204,4.097963,37.911390000,128.181500000,1477.000000,2356.784665,1747.713651,-609.071014,-25.843303,2.149163,14.012552,10.322940,12.104739,16.000876,13.110277,16.000876,37.908970000,128.179440000,37.908970000,128.179440000,37.908802000,128.179750000,37.908749026,128.179605274,37.908840000,128.179000000,37.908927561,128.179038701,37.909172000,128.179150000,37.909201278,128.179282731,37.909107000,128.179870000,37.908976171,128.179794542
7,7,826609967842,1.408,4.097963,37.911354000,128.181440000,1478.000000,2377.114504,1885.426819,-491.687685,-20.684224,0.824269,12.340789,11.956893,10.259718,9.781527,11.084732,12.340789,37.909176000,128.178570000,37.909176000,128.178570000,37.908913000,128.178800000,37.908905575,128.178659807,37.909145000,128.178150000,37.909242216,128.178207889,37.909435000,128.178360000,37.909441804,128.178476495,37.909218000,128.179020000,37.909143540,128.178960867
8,8,826609968045,1.611,4.097963,37.911312000,128.181370000,1479.000000,2288.915924,1726.030497,-562.885426,-24.591791,0.532964,11.738422,13.427051,11.805372,11.779257,12.187525,13.427051,37.909460000,128.177870000,37.909460000,128.177870000,37.909153000,128.178010000,37.909164686,128.177877173,37.909520000,128.177470000,37.909602289,128.177581773,37.909767000,128.177730000,37.909749364,128.177862541,37.909416000,128.178280000,37.909335930,128.178192321
9,9,826609968233,1.799,4.097963,37.911274000,128.181300000,1479.000000,1970.466456,1532.332855,-438.133601,-22.235020,1.830506,9.890921,6.503666,7.974232,10.870102,8.809731,10.870102,37.909813000,128.177320000,37.909813000,128.177320000,37.909485000,128.177370000,37.909524675,128.177269235,37.909946000,128.177020000,37.909987610,128.177071980,37.910137000,128.177290000,37.910093289,128.177361930,37.909687000,128.177670000,37.909634466,128.177565673
