sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
0,0,825323836148,0.000,4.998856,37.920597000,128.181350000,1305.000000,2152.284449,1691.812759,-460.471690,-21.394555,0.295561,21.745094,17.028297,21.228534,16.569567,19.142873,21.745094,37.922707000,128.181140000,37.922707000,128.181140000,37.922985000,128.180940000,37.922810003,128.180829970,37.923027000,128.181320000,37.922899761,128.181427636,37.922432000,128.181340000,37.922601510,128.181450750,37.922410000,128.180970000,37.922532112,128.180862104
1,1,825323836351,0.203,4.998856,37.920536000,128.181320000,1305.000000,2286.303954,1719.016178,-567.287776,-24.812439,0.463644,19.038135,18.564971,19.563492,17.681283,18.711970,19.563492,37.922718000,128.181150000,37.922718000,128.181150000,37.922985000,128.180920000,37.922825792,128.180840818,37.923046000,128.181320000,37.922910357,128.181442998,37.922447000,128.181370000,37.922607881,128.181459662,37.922413000,128.180980000,37.922544700,128.180867445
2,2,825323836554,0.406,4.998856,37.920470000,128.181290000,1304.000000,2224.572721,1737.110224,-487.462497,-21.912635,0.251515,17.834659,20.583149,18.006592,19.691232,19.028908,20.583149,37.922718000,128.181150000,37.922718000,128.181150000,37.922977000,128.180920000,37.922829171,128.180841708,37.923054000,128.181300000,37.922909772,128.181446674,37.922455000,128.181380000,37.922604415,128.181458558,37.922405000,128.181000000,37.922545810,128.180864279
3,3,825323836742,0.594,4.998856,37.920410000,128.181260000,1304.000000,2288.210144,1758.125460,-530.084684,-23.165909,0.035924,16.125714,21.910835,16.286101,21.660674,18.995831,21.910835,37.922718000,128.181150000,37.922718000,128.181150000,37.922970000,128.180900000,37.922832500,128.180842213,37.923060000,128.181290000,37.922909302,128.181450509,37.922462000,128.181400000,37.922600999,128.181457859,37.922398000,128.181020000,37.922546722,128.180860940
4,4,825323836946,0.798,4.998856,37.920353000,128.181230000,1303.000000,2327.605214,1766.610278,-560.994936,-24.101808,0.659481,14.452480,24.497583,14.256893,22.763364,18.992580,24.497583,37.922703000,128.181150000,37.922703000,128.181150000,37.922947000,128.180880000,37.922820423,128.180843395,37.923058000,128.181270000,37.922892143,128.181453356,37.922460000,128.181410000,37.922582714,128.181456469,37.922380000,128.181030000,37.922533269,128.180858402
5,5,825323837149,1.001,4.998856,37.920290000,128.181210000,1303.000000,2385.670709,1789.378747,-596.291962,-24.994730,0.401587,12.582996,25.368394,12.497429,24.506581,18.738850,25.368394,37.922703000,128.181150000,37.922703000,128.181150000,37.922935000,128.180860000,37.922822740,128.180843249,37.923060000,128.181260000,37.922892806,128.181456304,37.922470000,128.181430000,37.922580312,128.181456437,37.922375000,128.181050000,37.922533150,128.180855862
6,6,825323837353,1.205,4.998856,37.920223000,128.181180000,1303.000000,2347.595297,1823.254379,-524.340919,-22.335235,0.271522,9.929468,28.045908,10.704133,27.370778,19.012572,28.045908,37.922718000,128.181150000,37.922718000,128.181150000,37.922930000,128.180850000,37.922840966,128.180843148,37.923084000,128.181230000,37.922909634,128.181460533,37.922497000,128.181440000,37.922592289,128.181456343,37.922380000,128.181080000,37.922547940,128.180852342
7,7,825323837540,1.392,4.998856,37.920223000,128.181180000,1303.000000,2347.595297,1823.254379,-524.340919,-22.335235,0.271522,9.929468,28.045908,10.704133,27.370778,19.012572,28.045908,37.922718000,128.181150000,37.922718000,128.181150000,37.922930000,128.180850000,37.922840966,128.180843148,37.923084000,128.181230000,37.922909634,128.181460533,37.922497000,128.181440000,37.922592289,128.181456343,37.922380000,128.181080000,37.922547940,128.180852342
8,8,825323837744,1.596,4.998856,37.920162000,128.181150000,1302.000000,2357.224001,1843.360541,-513.863460,-21.799518,0.144034,8.945687,29.845043,9.513569,28.234185,19.134621,29.845043,37.922718000,128.181150000,37.922718000,128.181150000,37.922924000,128.180850000,37.922843789,128.180843787,37.923088000,128.181210000,37.922909624,128.181463730,37.922504000,128.181460000,37.922589388,128.181455499,37.922380000,128.181090000,37.922548470,128.180849651
9,9,825323837944,1.796,4.998856,37.920094000,128.181140000,1302.000000,2399.453443,1870.082137,-529.371306,-22.062162,0.513922,6.955608,32.009843,7.327238,30.991029,19.320930,32.009843,37.922718000,128.181150000,37.922718000,128.181150000,37.922905000,128.180820000,37.922845176,128.180842864,37.923090000,128.181180000,37.922911677,128.181465962,37.922523000,128.181470000,37.922587924,128.181456262,37.922370000,128.181120000,37.922547178,128.180847779
10,10,825323838147,1.999,4.998856,37.920033000,128.181120000,1301.000000,2428.779445,1891.204792,-537.574652,-22.133531,0.179625,5.180183,33.212371,5.917137,32.480225,19.197479,33.212371,37.922718000,128.181150000,37.922718000,128.181150000,37.922890000,128.180820000,37.922847117,128.180842905,37.923096000,128.181170000,37.922912663,128.181468381,37.922540000,128.181490000,37.922585911,128.181456042,37.922370000,128.181140000,37.922546825,128.180845785
11,11,825323838344,2.196,7.078050,37.919970000,128.181090000,1301.000000,4335.547157,3253.612562,-1081.934595,-24.954972,1.793178,15.078914,40.716937,14.111404,35.315683,26.305735,40.716937,37.922040000,128.180860000,37.922040000,128.180860000,37.922330000,128.180420000,37.922194547,128.180421210,37.922535000,128.180920000,37.922286771,128.181260547,37.921764000,128.181290000,37.921890691,128.181295492,37.921600000,128.180790000,37.921798092,128.180475871
12,12,825323838543,2.395,9.997711,37.919900000,128.181080000,1301.000000,7434.880962,5479.870307,-1955.010655,-26.295117,1.757430,54.447431,19.308697,50.006837,18.159606,35.480643,54.447431,37.921204000,128.180280000,37.921204000,128.180280000,37.921680000,128.179800000,37.921199887,128.179681627,37.921825000,128.180500000,37.921683387,128.180626966,37.920760000,128.180760000,37.921194131,128.180906347,37.920643000,128.180080000,37.920771134,128.179952015
13,13,825323838742,2.594,9.997711,37.919838000,128.181060000,1300.000000,6565.787865,4854.860712,-1710.927153,-26.058216,0.661967,76.846392,21.421034,78.095114,19.757123,49.029916,78.095114,37.920647000,128.179760000,37.920647000,128.179760000,37.921130000,128.179400000,37.920454500,128.179219633,37.921165000,128.180080000,37.921142407,128.179837756,37.920162000,128.180130000,37.920849862,128.180304758,37.920147000,128.179460000,37.920170670,128.179682974
14,14,825323838942,2.794,9.997711,37.919765000,128.181050000,1300.000000,6217.749284,4685.304826,-1532.444457,-24.646289,2.366517,15.942263,18.540510,20.535932,15.135315,17.538505,20.535932,37.920387000,128.179280000,37.920387000,128.179280000,37.919960000,128.178820000,37.920100923,128.178787672,37.920920000,128.179020000,37.920867124,128.179220207,37.920853000,128.179660000,37.920681585,128.179746430,37.919884000,128.179470000,37.919917429,128.179302938
15,15,825323839141,2.993,9.997711,37.919704000,128.181030000,1300.000000,6379.551713,4711.842277,-1667.709436,-26.141483,1.342043,7.802966,10.694699,8.088862,8.143548,8.682519,10.694699,37.920208000,128.179320000,37.920208000,128.179320000,37.919860000,128.178770000,37.919898750,128.178844044,37.920773000,128.179200000,37.920680196,128.179231494,37.920570000,128.179840000,37.920516659,128.179777451,37.919666000,128.179370000,37.919739155,128.179370057
16,16,825323839344,3.196,9.997711,37.919643000,128.181030000,1300.000000,6414.610390,4837.142764,-1577.467625,-24.591792,2.088184,14.269665,13.689664,12.319377,17.477438,14.439036,17.477438,37.920060000,128.179600000,37.920060000,128.179600000,37.919800000,128.178960000,37.919751384,128.179110354,37.920624000,128.179610000,37.920529436,128.179510341,37.920326000,128.180190000,37.920366353,128.180059373,37.919510000,128.179500000,37.919590614,128.179670784
17,17,825323839547,3.399,9.997711,37.919570000,128.181020000,1300.000000,6534.277416,4944.574936,-1589.702480,-24.328665,0.778208,21.749022,22.757053,22.453488,25.886482,23.211511,25.886482,37.919918000,128.179890000,37.919918000,128.179890000,37.919760000,128.179200000,37.919619290,128.179371820,37.920470000,128.180040000,37.920390549,128.179801229,37.920080000,128.180540000,37.920216046,128.180351231,37.919384000,128.179670000,37.919449954,128.179952674
18,18,825323839751,3.603,9.997711,37.919510000,128.181000000,1300.000000,6491.668136,4813.592168,-1678.075968,-25.849688,1.475429,27.610964,82.098109,29.199659,80.214069,54.780700,82.098109,37.919773000,128.180250000,37.919773000,128.180250000,37.919280000,128.179900000,37.919491827,128.179736431,37.919730000,128.179520000,37.920243342,128.180191231,37.920273000,128.180540000,37.920054544,128.180724050,37.919827000,128.180920000,37.919303667,128.180292105
