sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
0,0,825297853178,0.000,2.000000,38.058773000,127.268490000,797.000000,2804.351020,4810.369145,2006.018125,71.532348,9.941825,8.221445,35.285341,17.411853,13.519843,18.609621,35.285341,38.074074000,127.269470000,38.074074000,127.269470000,38.074467000,127.269264000,38.074481699,127.269172059,38.074330000,127.269714000,38.074632696,127.269833487,38.073696000,127.269670000,38.073832199,127.269767697,38.073833000,127.269230000,38.073735701,127.269137667
1,1,825297853381,0.203,2.000000,38.058840000,127.268524000,797.000000,2828.618342,4605.174463,1776.556121,62.806498,1.622816,15.273270,23.305655,7.752373,19.230338,16.390409,23.305655,38.073914000,127.270100000,38.073914000,127.270100000,38.074318000,127.269910000,38.074204981,127.269811184,38.074150000,127.270355000,38.074339736,127.270467413,38.073500000,127.270280000,38.073515824,127.270366151,38.073677000,127.269860000,38.073526483,127.269752310
2,2,825297853583,0.405,2.000000,38.058914000,127.268550000,797.000000,2989.568587,5198.583483,2209.014896,73.890758,0.417545,8.436929,20.148451,7.309777,20.719064,14.153555,20.719064,38.074173000,127.270690000,38.074173000,127.270690000,38.074610000,127.270520000,38.074607718,127.270423767,38.074425000,127.270960000,38.074581664,127.271075144,38.073753000,127.270860000,38.073751453,127.270943391,38.073933000,127.270440000,38.073771753,127.270321916
3,3,825297853771,0.593,2.000000,38.058983000,127.268570000,797.000000,3759.674432,6420.607564,2660.933132,70.775626,3.230673,9.752022,19.929893,8.432126,25.858687,15.993182,25.858687,38.075430000,127.270250000,38.075430000,127.270250000,38.075920000,127.270050000,38.075883873,127.269948618,38.075775000,127.270530000,38.075926939,127.270650295,38.074978000,127.270440000,38.074960801,127.270533710,38.075127000,127.269980000,38.074912300,127.269867349
4,4,825297853974,0.796,2.000000,38.059055000,127.268600000,797.000000,3637.192355,6083.584834,2446.392479,67.260465,2.367287,27.025585,47.891931,15.809330,26.418264,29.286277,47.891931,38.075592000,127.269580000,38.075592000,127.269580000,38.076060000,127.269356000,38.075831759,127.269250896,38.075924000,127.269844000,38.076340959,127.269978648,38.075150000,127.269790000,38.075265546,127.269894894,38.075294000,127.269325000,38.075071710,127.269219422
5,5,825297854177,0.999,2.000000,38.059124000,127.268620000,797.000000,3668.581163,8178.740194,4510.159031,122.940146,17.501426,37.372479,121.915036,25.535073,39.929721,56.188077,121.915036,38.076035000,127.268790000,38.076035000,127.268790000,38.076470000,127.268540000,38.076142664,127.268445268,38.076378000,127.269040000,38.077467840,127.269177240,38.075610000,127.269030000,38.075825655,127.269129304,38.075703000,127.268550000,38.075352789,127.268451484
6,6,825297854382,1.204,2.000000,38.059196000,127.268650000,797.000000,3651.026821,16228.003246,12576.976424,344.477788,81.521326,154.374442,183.423267,30.238378,40.415688,102.112944,183.423267,38.076140000,127.268090000,38.076140000,127.268090000,38.076560000,127.267815000,38.077940725,127.267650702,38.076496000,127.268326000,38.078142474,127.268407372,38.075733000,127.268340000,38.075993739,127.268436758,38.075820000,127.267850000,38.075461016,127.267781084
7,7,825297854583,1.405,2.000000,38.059265000,127.268680000,797.000000,3526.725337,16525.126220,12998.400882,368.568563,60.916972,157.770814,148.543749,51.014518,13.750864,92.769986,157.770814,38.076233000,127.267360000,38.076233000,127.267360000,38.076620000,127.267070000,38.078025547,127.266838820,38.076584000,127.267580000,38.077918213,127.267607708,38.075863000,127.267630000,38.075415145,127.267753413,38.075893000,127.267136000,38.075786404,127.267056708
8,8,825297854786,1.608,2.000000,38.059326000,127.268690000,797.000000,3312.332200,14361.027679,11048.695479,333.562421,41.291580,122.462441,118.832657,74.901946,8.492570,81.172404,122.462441,38.076020000,127.266945000,38.076020000,127.266945000,38.076355000,127.266660000,38.077439516,127.266425612,38.076370000,127.267160000,38.077437478,127.267166824,38.075665000,127.267230000,38.075001695,127.267373507,38.075687000,127.266740000,38.075675257,127.266644241
9,9,825297854972,1.794,2.000000,38.059395000,127.268720000,797.000000,3196.186465,11514.232012,8318.045547,260.249070,58.203628,195.942152,39.961741,11.504479,9.850638,64.314753,195.942152,38.075657000,127.267360000,38.075657000,127.267360000,38.076015000,127.267080000,38.077762215,127.266809130,38.075985000,127.267570000,38.076338689,127.267648024,38.075302000,127.267624000,38.075231425,127.267719905,38.075344000,127.267140000,38.075400062,127.267053027
