sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
0,0,826430641029,0.000,4.400000,38.059590000,127.265860000,750.000000,649.609390,1231.454155,581.844764,89.568404,0.298230,6.115271,8.642844,6.341681,7.833901,7.233424,8.642844,38.061745000,127.267784000,38.061745000,127.267784000,38.061910000,127.267700000,38.061955517,127.267660936,38.061726000,127.267990000,38.061735350,127.268087892,38.061580000,127.267860000,38.061533825,127.267902377,38.061760000,127.267570000,38.061748310,127.267481862
1,1,826430641218,0.189,4.400000,38.059650000,127.265880000,750.000000,710.048553,1261.825590,551.777037,77.709761,0.180062,6.129622,7.901491,5.970421,7.666203,6.916934,7.901491,38.062195000,127.267820000,38.062195000,127.267820000,38.062360000,127.267720000,38.062401818,127.267674503,38.062190000,127.268040000,38.062201155,127.268129031,38.062027000,127.267914000,38.061989597,127.267962821,38.062195000,127.267600000,38.062183807,127.267513696
2,2,826430641423,0.394,4.400000,38.059723000,127.265890000,750.000000,681.606913,1086.639272,405.032359,59.423159,0.292361,5.138454,7.881672,5.107281,7.343049,6.367614,7.881672,38.062267000,127.266570000,38.062267000,127.266570000,38.062393000,127.266410000,38.062386173,127.266352018,38.062325000,127.266780000,38.062367013,127.266852383,38.062145000,127.266730000,38.062138571,127.266787697,38.062210000,127.266365000,38.062171288,127.266297165
3,3,826430641627,0.598,4.400000,38.059795000,127.265915000,750.000000,689.381681,883.445038,194.063357,28.150350,0.402386,4.110520,5.158192,4.555457,4.048935,4.468276,5.158192,38.062412000,127.265190000,38.062412000,127.265190000,38.062470000,127.264980000,38.062451930,127.264939100,38.062540000,127.265340000,38.062563442,127.265390765,38.062355000,127.265396000,38.062373390,127.265442432,38.062286000,127.265030000,38.062265960,127.264991448
4,4,826430641818,0.789,4.400000,38.059868000,127.265930000,749.000000,727.656938,987.302160,259.645222,35.682367,0.280408,4.256488,3.798342,4.142859,4.113335,4.077756,4.256488,38.062454000,127.263880000,38.062454000,127.263880000,38.062450000,127.263650000,38.062447267,127.263601560,38.062620000,127.263980000,38.062636556,127.264017894,38.062454000,127.264110000,38.062457131,127.264157100,38.062294000,127.263780000,38.062267452,127.263747356
5,5,826430642026,0.997,4.400000,38.059940000,127.265945000,749.000000,689.200277,889.678482,200.478205,29.088526,0.633109,3.614967,4.328813,3.880680,4.139193,3.990913,4.328813,38.062508000,127.264725000,38.062508000,127.264725000,38.062540000,127.264500000,38.062543478,127.264458992,38.062650000,127.264854000,38.062668086,127.264897723,38.062477000,127.264940000,38.062485905,127.264982808,38.062366000,127.264595000,38.062358274,127.264548804
6,6,826430642220,1.191,4.400000,38.060010000,127.265970000,749.000000,641.822104,942.743327,300.921223,46.885456,0.710921,4.115644,7.104400,5.218714,5.186445,5.406301,7.104400,38.062454000,127.265940000,38.062454000,127.265940000,38.062542000,127.265750000,38.062531774,127.265704874,38.062542000,127.266120000,38.062587111,127.266177338,38.062363000,127.266120000,38.062374617,127.266177686,38.062363000,127.265755000,38.062334239,127.265708446
7,7,826430642424,1.395,4.400000,38.060080000,127.265980000,749.000000,632.159177,1112.269636,480.110459,75.947716,0.346873,5.174665,7.705525,5.416172,7.823174,6.529884,7.823174,38.062325000,127.267090000,38.062325000,127.267090000,38.062466000,127.266960000,38.062485486,127.266906398,38.062350000,127.267300000,38.062375797,127.267381583,38.062187000,127.267220000,38.062158969,127.267270510,38.062298000,127.266884000,38.062268439,127.266803022
8,8,826430642632,1.603,4.400000,38.060154000,127.266000000,749.000000,694.317251,1348.192425,653.875174,94.175274,0.854070,6.164288,9.458146,7.118054,7.686210,7.606674,9.458146,38.062553000,127.268100000,38.062553000,127.268100000,38.062725000,127.268010000,38.062774891,127.267979485,38.062540000,127.268310000,38.062553509,127.268416540,38.062386000,127.268170000,38.062333476,127.268216317,38.062570000,127.267876000,38.062551643,127.267791460
9,9,826430642823,1.794,4.400000,38.060226000,127.266020000,749.000000,690.304788,1177.538770,487.233982,70.582443,0.713064,4.403855,9.164670,5.582848,7.522460,6.668458,9.164670,38.062813000,127.267100000,38.062813000,127.267100000,38.062954000,127.266950000,38.062967102,127.266902590,38.062847000,127.267310000,38.062890588,127.267398707,38.062670000,127.267235000,38.062657970,127.267296838,38.062775000,127.266884000,38.062738646,127.266811650
