sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
8,9,825932815496,1.586,10.000000,38.011110000,127.245224000,993.000000,31156842.935342,10516009.443863,-20640833.491478,-66.248155,6665.272965,13210.487998,10912.028850,1026.220268,1524.879729,6668.404211,13210.487998,38.060540000,127.245384000,38.060540000,127.245384000,38.231365000,127.230690000,38.112758778,127.235701209,38.230430000,127.261116000,38.132449685,127.257381605,38.059315000,127.248720000,38.050102964,127.249164894,38.056620000,127.242210000,38.042921773,127.242216050
9,10,825932815702,1.792,10.000000,38.011158000,127.245224000,991.000000,350626.227111,506415.770809,155789.543698,44.431800,363.226786,152.936595,508.252202,554.997897,268.259272,371.111492,554.997897,38.045040000,127.245320000,38.045040000,127.245320000,38.045837000,127.242910000,38.044638750,127.242056616,38.055810000,127.248474000,38.051285259,127.249248894,38.044370000,127.247665000,38.039395923,127.248095748,38.042350000,127.243120000,38.039997698,127.242455470
10,11,825932815909,1.999,10.000000,38.011204000,127.245224000,989.000000,174570.941782,305833.882350,131262.940568,75.191747,74.596187,160.350941,148.380493,238.762481,85.578560,158.268119,238.762481,38.036697000,127.245290000,38.036697000,127.245290000,38.038933000,127.243324000,38.040192660,127.242436900,38.040726000,127.247406000,38.039507734,127.248092689,38.035190000,127.247025000,38.033076362,127.247487812,38.034940000,127.243570000,38.034346706,127.242949293
11,12,825932816100,2.190,10.000000,38.011250000,127.245224000,988.000000,87197.396688,122645.256453,35447.859765,40.652429,16.178250,58.247173,68.746232,47.995057,50.366403,56.338716,68.746232,38.030567000,127.245270000,38.030567000,127.245270000,38.031970000,127.243744000,38.032190707,127.243141704,38.032345000,127.246830000,38.031902279,127.247376607,38.029180000,127.246620000,38.029040802,127.247138049,38.028946000,127.243930000,38.028726744,127.243427546
12,13,825932816307,2.397,10.000000,38.011303000,127.245224000,986.000000,47754.760719,92775.911334,45021.150615,94.275733,2.634532,77.428938,57.056902,68.672281,45.215923,62.093511,77.428938,38.026250000,127.245255000,38.026250000,127.245255000,38.027157000,127.244026000,38.027722460,127.243511819,38.027462000,127.246506000,38.027784703,127.247011517,38.025390000,127.246376000,38.024851460,127.246757966,38.025070000,127.244150000,38.024812832,127.243750876
13,14,825932816498,2.588,10.000000,38.011370000,127.245224000,986.000000,30334.799217,48490.325835,18155.526618,59.850492,9.654298,36.083507,34.838800,38.096015,40.034203,37.263131,40.034203,38.023224000,127.245250000,38.023224000,127.245250000,38.023907000,127.244220000,38.023994951,127.243823962,38.024155000,127.246300000,38.024143823,127.246697027,38.022537000,127.246200000,38.022349272,127.246563228,38.022400000,127.244300000,38.022164384,127.243955098
14,15,825932816705,2.795,10.000000,38.011436000,127.245224000,986.000000,19940.982622,43568.765331,23627.782709,118.488558,6.588971,40.317879,51.572372,45.631799,57.424823,48.736718,57.424823,38.020947000,127.245230000,38.020947000,127.245230000,38.021520000,127.244340000,38.021740615,127.243975388,38.021595000,127.246130000,38.021947835,127.246511106,38.020386000,127.246060000,38.020049253,127.246356703,38.020367000,127.244390000,38.019896255,127.244122205
15,16,825932816911,3.001,10.000000,38.011505000,127.245224000,986.000000,14345.837986,28966.978242,14621.140256,101.919039,9.279240,37.169957,51.234485,28.710705,26.923018,36.009541,51.234485,38.019210000,127.245190000,38.019210000,127.245190000,38.019690000,127.244390000,38.019920051,127.244082807,38.019690000,127.245995000,38.020077569,127.246310090,38.018740000,127.245950000,38.018576100,127.246202775,38.018753000,127.244440000,38.018632678,127.244173691
16,17,825932817102,3.192,10.000000,38.011570000,127.245224000,985.000000,11262.865775,19720.729692,8457.863917,75.095132,3.404018,32.153367,25.081101,25.180592,21.734394,26.037364,32.153367,38.017788000,127.245130000,38.017788000,127.245130000,38.018215000,127.244400000,38.018400263,127.244118721,38.018190000,127.245860000,38.018303186,127.246107282,38.017380000,127.245820000,38.017260818,127.246064036,38.017406000,127.244430000,38.017347279,127.244193647
17,18,825932817308,3.398,10.000000,38.011635000,127.245224000,985.000000,9129.909678,15380.025224,6250.115546,68.457584,1.775164,25.335456,20.370509,23.888944,23.060677,23.163897,25.335456,38.016575000,127.245030000,38.016575000,127.245030000,38.016953000,127.244360000,38.017027688,127.244087114,38.016920000,127.245705000,38.016981740,127.245923652,38.016210000,127.245674000,38.016123072,127.245923042,38.016243000,127.244385000,38.016133849,127.244161515
