sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
0,0,826613794716,0.000,10.000000,38.010690000,127.245224000,1000.000000,11213.829515,11300.220467,86.390952,0.770397,0.045658,0.371532,0.197377,0.285039,0.318006,0.292988,0.371532,38.010690000,127.245224000,38.010690000,127.245224000,38.011046766,127.244418225,38.011048659,127.244414736,38.011046920,127.246030123,38.011048040,127.246031867,38.010334260,127.246027458,38.010332751,127.246030083,38.010333206,127.244418162,38.010331550,127.244415208
1,1,826613794783,0.067,10.000000,38.010712073,127.245235787,999.937963,11230.383212,11295.883042,65.499830,0.583238,0.067066,0.285799,0.354584,0.208294,0.053258,0.225484,0.354584,38.010690000,127.245224000,38.010690000,127.245224000,38.010116732,127.245789894,38.010114393,127.245791236,38.010606865,127.244305419,38.010606638,127.244301386,38.011265841,127.244655575,38.011267613,127.244654814,38.010773172,127.246143199,38.010773094,127.246143798
2,2,826613794916,0.200,10.000000,38.010756141,127.245259320,999.628026,11225.480918,11289.401821,63.920904,0.569427,0.067689,0.303269,0.354632,0.182303,0.040468,0.220168,0.354632,38.010734123,127.245247562,38.010734123,127.245247562,38.010161182,127.245813142,38.010158713,127.245814605,38.010651016,127.244329289,38.010650789,127.244325256,38.011309968,127.244679122,38.011311545,127.244678563,38.010817290,127.246166787,38.010817201,127.246167234
3,3,826613794983,0.267,10.000000,38.010778115,127.245271054,999.380319,11219.830835,11283.938226,64.107392,0.571376,0.065771,0.313480,0.354658,0.169600,0.046375,0.221028,0.354658,38.010756141,127.245259320,38.010756141,127.245259320,38.010183433,127.245824673,38.010180889,127.245826207,38.010673056,127.244341293,38.010672828,127.244337259,38.011331930,127.244690928,38.011333410,127.244690471,38.010839287,127.246178327,38.010839203,127.246178845
4,4,826613795049,0.333,10.000000,38.010800033,127.245282759,999.070964,11210.902454,11277.099918,66.197464,0.590474,0.059368,0.324771,0.354682,0.157155,0.078691,0.228825,0.354682,38.010778115,127.245271054,38.010778115,127.245271054,38.010205677,127.245836145,38.010203050,127.245837756,38.010695058,127.244353334,38.010694829,127.244349300,38.011353810,127.244702750,38.011355193,127.244702392,38.010861215,127.246189482,38.010861156,127.246190377
5,5,826613795116,0.400,10.000000,38.010821884,127.245294428,998.700131,11200.754292,11268.744497,67.990205,0.607015,0.054739,0.332698,0.353643,0.145046,0.111751,0.235785,0.353643,38.010800009,127.245282746,38.010800009,127.245282746,38.010227853,127.245847562,38.010225167,127.245849227,38.010716985,127.244365394,38.010716758,127.244361372,38.011375572,127.244714566,38.011376859,127.244714308,38.010883058,127.246200536,38.010883024,127.246201809
6,6,826613795183,0.467,10.000000,38.010843665,127.245306059,998.274581,11189.116704,11258.647405,69.530701,0.621414,0.052868,0.340440,0.351982,0.135473,0.139582,0.241869,0.351982,38.010821860,127.245294415,38.010821860,127.245294415,38.010250019,127.245858922,38.010247277,127.245860640,38.010738875,127.244377485,38.010738649,127.244373482,38.011397239,127.244726412,38.011398448,127.244726234,38.010904852,127.246211513,38.010904840,127.246213104
7,7,826613795249,0.533,10.000000,38.010865390,127.245317660,997.809099,11176.201183,11246.505252,70.304070,0.629052,0.053698,0.348055,0.350713,0.130015,0.151324,0.245027,0.350713,38.010843665,127.245306059,38.010843665,127.245306059,38.010272165,127.245870232,38.010269366,127.245872002,38.010760721,127.244389592,38.010760496,127.244385603,38.011418802,127.244738293,38.011419965,127.244738160,38.010926598,127.246222427,38.010926593,127.246224152
8,8,826613795383,0.667,10.000000,38.010908705,127.245340791,996.793150,11150.754762,11220.143348,69.388586,0.622277,0.051729,0.331784,0.349289,0.119407,0.170490,0.242743,0.349289,38.010887063,127.245329234,38.010887063,127.245329234,38.010316051,127.245892922,38.010313371,127.245894577,38.010804214,127.244413776,38.010803986,127.244409804,38.011461665,127.244761996,38.011462737,127.244761949,38.010969871,127.246244063,38.010969878,127.246246006
9,9,826613795449,0.733,10.000000,38.010930315,127.245352331,996.256154,11137.463325,11206.250128,68.786804,0.617616,0.050888,0.323045,0.349080,0.114350,0.177991,0.241116,0.349080,38.010908701,127.245340789,38.010908701,127.245340789,38.010337938,127.245904227,38.010335322,127.245905821,38.010825901,127.244425865,38.010825672,127.244421895,38.011483016,127.244773832,38.011484044,127.244773828,38.010991444,127.246254820,38.010991455,127.246256849
10,10,826613795516,0.800,10.000000,38.010951902,127.245363858,995.706303,11123.823179,11192.203367,68.380188,0.614718,0.050084,0.314765,0.349310,0.109469,0.187369,0.240228,0.349310,38.010930309,127.245352328,38.010930309,127.245352328,38.010359808,127.245915505,38.010357252,127.245917041,38.010847560,127.244437951,38.010847329,127.244433979,38.011504330,127.244785660,38.011505313,127.244785699,38.011012986,127.246265549,38.011013002,127.246267685
11,11,826613795583,0.867,10.000000,38.010973472,127.245375377,995.147140,11109.974999,11178.053798,68.078799,0.612772,0.049627,0.306937,0.349199,0.103399,0.200019,0.239889,0.349199,38.010951895,127.245363855,38.010951895,127.245363855,38.010381665,127.245926762,38.010379167,127.245928242,38.010869196,127.244450027,38.010868963,127.244446057,38.011525616,127.244797482,38.011526542,127.244797578,38.011034505,127.246276257,38.011034529,127.246278537
12,12,826613795649,0.933,10.000000,38.010995030,127.245386890,994.581423,11096.030027,11163.171566,67.141539,0.605095,0.051023,0.299559,0.348114,0.092382,0.211841,0.237974,0.348114,38.010973464,127.245375373,38.010973464,127.245375373,38.010403514,127.245938002,38.010401070,127.245939430,38.010890815,127.244462086,38.010890582,127.244458128,38.011546881,127.244809300,38.011547694,127.244809509,38.011056006,127.246286950,38.011056039,127.246289365
13,13,826613795716,1.000,10.000000,38.011016581,127.245398398,994.011301,11082.032480,11148.152398,66.119918,0.596641,0.052853,0.292591,0.346138,0.083079,0.222857,0.236166,0.346138,38.010995022,127.245386885,38.010995022,127.245386885,38.010425358,127.245949228,38.010422965,127.245950608,38.010912420,127.244474129,38.010912189,127.244470193,38.011568131,127.244821114,38.011568833,127.244821438,38.011077496,127.246297632,38.011077536,127.246300172
14,14,826613795849,1.133,10.000000,38.011059669,127.245421407,992.864170,11053.837677,11118.039563,64.201886,0.580811,0.057462,0.280492,0.339414,0.072656,0.245445,0.234502,0.339414,38.011038117,127.245409898,38.011038117,127.245409898,38.010469041,127.245971655,38.010466739,127.245972954,38.010955607,127.244498171,38.010955385,127.244494311,38.011610606,127.244844734,38.011611100,127.244845276,38.011120450,127.246318947,38.011120510,127.246321744
15,15,826613795916,1.200,10.000000,38.011081211,127.245432911,992.289479,11039.444655,11102.996846,63.552191,0.575683,0.061281,0.276991,0.333559,0.071703,0.260657,0.235727,0.333559,38.011059660,127.245421402,38.011059660,127.245421402,38.010490885,127.245982860,38.010488609,127.245984136,38.010977193,127.244510170,38.010976979,127.244506376,38.011631838,127.244856543,38.011632232,127.244857190,38.011141919,127.246329542,38.011141991,127.246332512
