sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
0,0,825323836148,0.000,4.998856,37.920597000,128.181350000,1305.000000,2152.284449,1669.896821,-482.387628,-22.412819,0.473942,23.392419,15.763737,22.315082,15.323158,19.198599,23.392419,37.922707000,128.181140000,37.922707000,128.181140000,37.922985000,128.180940000,37.922791740,128.180835401,37.923027000,128.181320000,37.922913254,128.181426928,37.922432000,128.181340000,37.922612701,128.181450014,37.922410000,128.180970000,37.922520689,128.180866271
1,1,825323836351,0.203,4.998856,37.920536000,128.181320000,1305.000000,2286.303954,1697.795352,-588.508602,-25.740611,0.701441,20.829333,17.459070,20.644792,16.316426,18.812405,20.829333,37.922718000,128.181150000,37.922718000,128.181150000,37.922985000,128.180920000,37.922807298,128.180845721,37.923046000,128.181320000,37.922922511,128.181442569,37.922447000,128.181370000,37.922618586,128.181459207,37.922413000,128.180980000,37.922531972,128.180871472
2,2,825323836554,0.406,4.998856,37.920470000,128.181290000,1304.000000,2224.572721,1716.255144,-508.317577,-22.850122,0.514881,19.658667,19.507831,19.131761,18.315818,19.153520,19.658667,37.922718000,128.181150000,37.922718000,128.181150000,37.922977000,128.180920000,37.922810238,128.180846334,37.923054000,128.181300000,37.922922205,128.181446416,37.922455000,128.181380000,37.922615395,128.181458254,37.922405000,128.181000000,37.922532496,128.180868161
3,3,825323836742,0.594,4.998856,37.920410000,128.181260000,1304.000000,2288.210144,1737.712665,-550.497479,-24.057995,0.340591,18.075923,20.844507,17.470735,20.284828,19.168998,20.844507,37.922718000,128.181150000,37.922718000,128.181150000,37.922970000,128.180900000,37.922813187,128.180846568,37.923060000,128.181290000,37.922921984,128.181450420,37.922462000,128.181400000,37.922612196,128.181457704,37.922398000,128.181020000,37.922532873,128.180864669
4,4,825323836946,0.798,4.998856,37.920353000,128.181230000,1303.000000,2327.605214,1747.260495,-580.344719,-24.933125,0.944095,16.541088,23.364742,15.468334,21.428091,19.200563,23.364742,37.922703000,128.181150000,37.922703000,128.181150000,37.922947000,128.180880000,37.922800629,128.180847563,37.923058000,128.181270000,37.922905992,128.181453473,37.922460000,128.181410000,37.922594046,128.181456405,37.922380000,128.181030000,37.922519553,128.180861927
5,5,825323837149,1.001,4.998856,37.920290000,128.181210000,1303.000000,2385.670709,1770.123951,-615.546758,-25.801832,0.697404,14.794923,24.252049,13.766394,23.177522,18.997722,24.252049,37.922703000,128.181150000,37.922703000,128.181150000,37.922935000,128.180860000,37.922802476,128.180847247,37.923060000,128.181260000,37.922906947,128.181456542,37.922470000,128.181430000,37.922591890,128.181456474,37.922375000,128.181050000,37.922518935,128.180859286
6,6,825323837353,1.205,4.998856,37.920223000,128.181180000,1303.000000,2347.595297,1803.826262,-543.769035,-23.162810,0.531420,12.206100,27.052099,12.022822,26.002941,19.320990,27.052099,37.922718000,128.181150000,37.922718000,128.181150000,37.922930000,128.180850000,37.922820380,128.180846810,37.923084000,128.181230000,37.922923122,128.181460891,37.922497000,128.181440000,37.922604208,128.181456582,37.922380000,128.181080000,37.922532452,128.180855645
7,7,825323837540,1.392,4.998856,37.920223000,128.181180000,1303.000000,2347.595297,1803.826262,-543.769035,-23.162810,0.531420,12.206100,27.052099,12.022822,26.002941,19.320990,27.052099,37.922718000,128.181150000,37.922718000,128.181150000,37.922930000,128.180850000,37.922820380,128.180846810,37.923084000,128.181230000,37.922923122,128.181460891,37.922497000,128.181440000,37.922604208,128.181456582,37.922380000,128.181080000,37.922532452,128.180855645
8,8,825323837744,1.596,4.998856,37.920162000,128.181150000,1302.000000,2357.224001,1824.410691,-532.813310,-22.603423,0.493665,11.268419,28.883725,10.865639,26.866152,19.470984,28.883725,37.922718000,128.181150000,37.922718000,128.181150000,37.922924000,128.180850000,37.922822798,128.180847193,37.923088000,128.181210000,37.922923391,128.181464255,37.922504000,128.181460000,37.922601554,128.181455885,37.922380000,128.181090000,37.922532415,128.180852784
9,9,825323837944,1.796,4.998856,37.920094000,128.181140000,1302.000000,2399.453443,1850.679595,-548.773848,-22.870785,0.699032,9.348510,31.107203,8.691489,29.634866,19.695517,31.107203,37.922718000,128.181150000,37.922718000,128.181150000,37.922905000,128.180820000,37.922823604,128.180846200,37.923090000,128.181180000,37.922925695,128.181466539,37.922523000,128.181470000,37.922600369,128.181456702,37.922370000,128.181120000,37.922530608,128.180850859
