sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
0,0,825297853178,0.000,2.000000,38.058773000,127.268490000,797.000000,2804.351020,5275.974546,2471.623526,88.135312,11.202087,11.848904,38.748253,13.551425,14.671354,19.704984,38.748253,38.074074000,127.269470000,38.074074000,127.269470000,38.074467000,127.269264000,38.074547206,127.269175110,38.074330000,127.269714000,38.074664575,127.269835978,38.073696000,127.269670000,38.073792586,127.269764127,38.073833000,127.269230000,38.073723234,127.269137335
1,1,825297853381,0.203,2.000000,38.058840000,127.268524000,797.000000,2828.618342,4496.491173,1667.872831,58.964223,1.159877,11.914322,22.751649,10.432309,16.864927,15.490802,22.751649,38.073914000,127.270100000,38.073914000,127.270100000,38.074318000,127.269910000,38.074241733,127.269814614,38.074150000,127.270355000,38.074334606,127.270466414,38.073500000,127.270280000,38.073560093,127.270371350,38.073677000,127.269860000,38.073550215,127.269754650
2,2,825297853583,0.405,2.000000,38.058914000,127.268550000,797.000000,2989.568587,5243.084549,2253.515962,75.379303,1.033653,9.068049,25.636513,7.541070,20.372540,15.654543,25.636513,38.074173000,127.270690000,38.074173000,127.270690000,38.074610000,127.270520000,38.074585334,127.270421379,38.074425000,127.270960000,38.074633855,127.271083267,38.073753000,127.270860000,38.073763409,127.270945032,38.073933000,127.270440000,38.073775043,127.270322595
3,3,825297853771,0.593,2.000000,38.058983000,127.268570000,797.000000,3759.674432,6275.116795,2515.442362,66.905856,3.589497,17.707295,27.228861,8.382165,24.551418,19.467435,27.228861,38.075430000,127.270250000,38.075430000,127.270250000,38.075920000,127.270050000,38.075786096,127.269940927,38.075775000,127.270530000,38.075997638,127.270658685,38.074978000,127.270440000,38.074962673,127.270533651,38.075127000,127.269980000,38.074924621,127.269868640
4,4,825297853974,0.796,2.000000,38.059055000,127.268600000,797.000000,3637.192355,6407.505436,2770.313081,76.166252,3.057119,22.099562,49.480469,14.688136,28.995584,28.815938,49.480469,38.075592000,127.269580000,38.075592000,127.269580000,38.076060000,127.269356000,38.075878792,127.269252991,38.075924000,127.269844000,38.076355497,127.269979529,38.075150000,127.269790000,38.075253681,127.269893669,38.075294000,127.269325000,38.075047322,127.269218752
5,5,825297854177,0.999,2.000000,38.059124000,127.268620000,797.000000,3668.581163,8864.375439,5195.794276,141.629530,18.501094,32.623780,130.261044,24.231911,47.655039,58.692943,130.261044,38.076035000,127.268790000,38.076035000,127.268790000,38.076470000,127.268540000,38.076186639,127.268444996,38.076378000,127.269040000,38.077543003,127.269179329,38.075610000,127.269030000,38.075813328,127.269128741,38.075703000,127.268550000,38.075281858,127.268452402
6,6,825297854382,1.204,2.000000,38.059196000,127.268650000,797.000000,3651.026821,16274.616791,12623.589970,345.754512,72.225204,149.728023,171.396198,14.741173,43.748628,94.903505,171.396198,38.076140000,127.268090000,38.076140000,127.268090000,38.076560000,127.267815000,38.077898950,127.267652724,38.076496000,127.268326000,38.078034293,127.268408963,38.075733000,127.268340000,38.075840118,127.268438902,38.075820000,127.267850000,38.075430606,127.267782519
7,7,825297854583,1.405,2.000000,38.059265000,127.268680000,797.000000,3526.725337,15846.289044,12319.563707,349.320192,35.233642,119.765304,127.345317,76.196790,30.341927,88.412335,127.345317,38.076233000,127.267360000,38.076233000,127.267360000,38.076620000,127.267070000,38.077684489,127.266871728,38.076584000,127.267580000,38.077727545,127.267619232,38.075863000,127.267630000,38.075187064,127.267767017,38.075893000,127.267136000,38.075625127,127.267072021
8,8,825297854786,1.608,2.000000,38.059326000,127.268690000,797.000000,3312.332200,13140.303201,9827.971001,296.708494,14.377902,88.341757,82.323897,88.500132,25.110926,71.069178,88.500132,38.076020000,127.266945000,38.076020000,127.266945000,38.076355000,127.266660000,38.077133365,127.266463493,38.076370000,127.267160000,38.077109020,127.267194836,38.075665000,127.267230000,38.074879305,127.267384148,38.075687000,127.266740000,38.075468306,127.266669759
9,9,825297854972,1.794,2.000000,38.059395000,127.268720000,797.000000,3196.186465,10962.824671,7766.638206,242.997031,29.696679,146.953513,25.158059,45.679565,9.341316,56.783113,146.953513,38.075657000,127.267360000,38.075657000,127.267360000,38.076015000,127.267080000,38.077323081,127.266854168,38.075985000,127.267570000,38.076200275,127.267657386,38.075302000,127.267624000,38.074902176,127.267741292,38.075344000,127.267140000,38.075284826,127.267064417
10,10,825297855174,1.996,2.000000,38.059467000,127.268745000,797.000000,3128.012405,7155.981725,4027.969320,128.770887,19.377780,44.605726,44.005321,21.507838,30.339442,35.114582,44.605726,38.075577000,127.268040000,38.075577000,127.268040000,38.075940000,127.267784000,38.076329344,127.267663673,38.075870000,127.268270000,38.076260037,127.268351724,38.075203000,127.268295000,38.075385909,127.268374062,38.075264000,127.267820000,38.074997541,127.267747251
