sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
0,0,826430641029,0.000,4.400000,38.059590000,127.265860000,750.000000,649.609390,1237.173242,587.563852,90.448793,0.307958,5.991974,8.810373,6.237915,7.998954,7.259804,8.810373,38.061745000,127.267784000,38.061745000,127.267784000,38.061910000,127.267700000,38.061954269,127.267661109,38.061726000,127.267990000,38.061737973,127.268089364,38.061580000,127.267860000,38.061534768,127.267902011,38.061760000,127.267570000,38.061745163,127.267480703
1,1,826430641218,0.189,4.400000,38.059650000,127.265880000,750.000000,710.048553,1278.075249,568.026696,79.998289,0.422528,5.593642,8.810899,5.831174,8.913071,7.287196,8.913071,38.062195000,127.267820000,38.062195000,127.267820000,38.062360000,127.267720000,38.062385881,127.267665296,38.062190000,127.268040000,38.062211418,127.268136777,38.062027000,127.267914000,38.061992256,127.267963790,38.062195000,127.267600000,38.062167539,127.267504475
2,2,826430641423,0.394,4.400000,38.059723000,127.265890000,750.000000,681.606913,1054.460272,372.853359,54.702109,0.329681,4.841377,6.803895,4.874284,6.649852,5.792352,6.803895,38.062267000,127.266570000,38.062267000,127.266570000,38.062393000,127.266410000,38.062391017,127.266354820,38.062325000,127.266780000,38.062356522,127.266846508,38.062145000,127.266730000,38.062135099,127.266784173,38.062210000,127.266365000,38.062178541,127.266300502
3,3,826430641627,0.598,4.400000,38.059795000,127.265915000,750.000000,689.381681,889.963046,200.581365,29.095836,0.399148,3.910799,5.030102,4.380982,3.954772,4.319164,5.030102,38.062412000,127.265190000,38.062412000,127.265190000,38.062470000,127.264980000,38.062455424,127.264939402,38.062540000,127.265340000,38.062563188,127.265389258,38.062355000,127.265396000,38.062372197,127.265440960,38.062286000,127.265030000,38.062265135,127.264993480
4,4,826430641818,0.789,4.400000,38.059868000,127.265930000,749.000000,727.656938,1031.353107,303.696169,41.736174,0.246723,5.031744,3.734752,4.181357,3.921434,4.217322,5.031744,38.062454000,127.263880000,38.062454000,127.263880000,38.062450000,127.263650000,38.062458451,127.263593603,38.062620000,127.263980000,38.062642024,127.264012144,38.062454000,127.264110000,38.062453184,127.264157696,38.062294000,127.263780000,38.062269709,127.263747596
5,5,826430642026,0.997,4.400000,38.059940000,127.265945000,749.000000,689.200277,914.769544,225.569267,32.729132,0.698873,3.967232,4.273485,3.872838,4.077658,4.047804,4.273485,38.062508000,127.264725000,38.062508000,127.264725000,38.062540000,127.264500000,38.062549732,127.264456456,38.062650000,127.264854000,38.062668933,127.264896417,38.062477000,127.264940000,38.062479844,127.264984039,38.062366000,127.264595000,38.062359501,127.264549214
6,6,826430642220,1.191,4.400000,38.060010000,127.265970000,749.000000,641.822104,925.231441,283.409337,44.156992,0.543896,4.168609,6.144124,5.033448,5.499650,5.211458,6.144124,38.062454000,127.265940000,38.062454000,127.265940000,38.062542000,127.265750000,38.062528121,127.265705826,38.062542000,127.266120000,38.062575390,127.266175819,38.062363000,127.266120000,38.062370295,127.266176677,38.062363000,127.265755000,38.062328835,127.265709674
7,7,826430642424,1.395,4.400000,38.060080000,127.265980000,749.000000,632.159177,1054.552098,422.392921,66.817494,0.116028,4.936890,7.153537,5.028817,6.829325,5.987142,7.153537,38.062325000,127.267090000,38.062325000,127.267090000,38.062466000,127.266960000,38.062487241,127.266910554,38.062350000,127.267300000,38.062373064,127.267376180,38.062187000,127.267220000,38.062165736,127.267270622,38.062298000,127.266884000,38.062277919,127.266810373
8,8,826430642632,1.603,4.400000,38.060154000,127.266000000,749.000000,694.317251,1375.827366,681.510114,98.155434,0.859305,6.133749,9.211884,7.005541,9.193340,7.886129,9.211884,38.062553000,127.268100000,38.062553000,127.268100000,38.062725000,127.268010000,38.062774756,127.267979933,38.062540000,127.268310000,38.062551645,127.268414057,38.062386000,127.268170000,38.062335544,127.268217771,38.062570000,127.267876000,38.062536042,127.267780386
9,9,826430642823,1.794,4.400000,38.060226000,127.266020000,749.000000,690.304788,1237.146538,546.841750,79.217436,0.652895,4.732768,8.853203,5.345334,7.516300,6.611901,8.853203,38.062813000,127.267100000,38.062813000,127.267100000,38.062954000,127.266950000,38.062982530,127.266909964,38.062847000,127.267310000,38.062889334,127.267395511,38.062670000,127.267235000,38.062645993,127.267287819,38.062775000,127.266884000,38.062736504,127.266813546
