sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
8,9,825932815496,1.586,10.000000,38.011110000,127.245224000,993.000000,31156842.935342,10145004.944825,-21011837.990517,-67.438919,6776.404656,13281.856247,11268.302458,1022.454723,1546.487114,6779.775136,13281.856247,38.060540000,127.245384000,38.060540000,127.245384000,38.231365000,127.230690000,38.112118845,127.235759661,38.230430000,127.261116000,38.129255423,127.257063312,38.059315000,127.248720000,38.050136961,127.249169729,38.056620000,127.242210000,38.042727682,127.242233270
9,10,825932815702,1.792,10.000000,38.011158000,127.245224000,991.000000,350626.227111,638338.195198,287711.968088,82.056602,273.141638,236.884707,481.203596,564.755636,272.369555,388.803374,564.755636,38.045040000,127.245320000,38.045040000,127.245320000,38.045837000,127.242910000,38.047763144,127.241761389,38.055810000,127.248474000,38.051533362,127.249273393,38.044370000,127.247665000,38.039307574,127.248086291,38.042350000,127.243120000,38.039959168,127.242459651
10,11,825932815909,1.999,10.000000,38.011204000,127.245224000,989.000000,174570.941782,299980.452843,125409.511061,71.838709,79.516589,152.038697,159.616887,226.956735,93.345392,157.989428,226.956735,38.036697000,127.245290000,38.036697000,127.245290000,38.038933000,127.243324000,38.040109933,127.242444173,38.040726000,127.247406000,38.039394619,127.248081888,38.035190000,127.247025000,38.033185818,127.247499904,38.034940000,127.243570000,38.034254075,127.242957599
11,12,825932816100,2.190,10.000000,38.011250000,127.245224000,988.000000,87197.396688,131014.593176,43817.196488,50.250579,1.451543,79.235047,56.387445,48.400045,46.252634,57.568793,79.235047,38.030567000,127.245270000,38.030567000,127.245270000,38.031970000,127.243744000,38.032480630,127.243114468,38.032345000,127.246830000,38.032104763,127.247396147,38.029180000,127.246620000,38.029021984,127.247134235,38.028946000,127.243930000,38.028850686,127.243416577
12,13,825932816307,2.397,10.000000,38.011303000,127.245224000,986.000000,47754.760719,93005.296501,45250.535782,94.756073,1.864762,85.605844,50.521425,67.751894,47.590628,62.867448,85.605844,38.026250000,127.245255000,38.026250000,127.245255000,38.027157000,127.244026000,38.027806899,127.243504112,38.027462000,127.246506000,38.027694675,127.247000662,38.025390000,127.246376000,38.024860907,127.246757869,38.025070000,127.244150000,38.024775943,127.243756056
13,14,825932816498,2.588,10.000000,38.011370000,127.245224000,986.000000,30334.799217,48059.830953,17725.031736,58.431347,13.226298,34.026128,34.542546,38.435600,43.064646,37.517230,43.064646,38.023224000,127.245250000,38.023224000,127.245250000,38.023907000,127.244220000,38.023934203,127.243833526,38.024155000,127.246300000,38.024133252,127.246692934,38.022537000,127.246200000,38.022338683,127.246558785,38.022400000,127.244300000,38.022118151,127.243963618
14,15,825932816705,2.795,10.000000,38.011436000,127.245224000,986.000000,19940.982622,42519.816665,22578.834043,113.228292,9.531043,33.569661,52.410963,48.459672,55.768506,47.552201,55.768506,38.020947000,127.245230000,38.020947000,127.245230000,38.021520000,127.244340000,38.021641853,127.243989846,38.021595000,127.246130000,38.021958492,127.246509842,38.020386000,127.246060000,38.020015226,127.246349550,38.020367000,127.244390000,38.019912410,127.244122747
15,16,825932816911,3.001,10.000000,38.011505000,127.245224000,986.000000,14345.837986,28719.483865,14373.645879,100.193839,5.651129,35.802222,45.817913,30.170386,28.715674,35.126549,45.817913,38.019210000,127.245190000,38.019210000,127.245190000,38.019690000,127.244390000,38.019904650,127.244085984,38.019690000,127.245995000,38.020022992,127.246302074,38.018740000,127.245950000,38.018552424,127.246198319,38.018753000,127.244440000,38.018595889,127.244180301
16,17,825932817102,3.192,10.000000,38.011570000,127.245224000,985.000000,11262.865775,19582.797917,8319.932142,73.870472,6.222166,32.777429,27.067812,23.920035,20.862954,26.157058,32.777429,38.017788000,127.245130000,38.017788000,127.245130000,38.018215000,127.244400000,38.018412436,127.244122726,38.018190000,127.245860000,38.018337011,127.246105842,38.017380000,127.245820000,38.017277896,127.246059990,38.017406000,127.244430000,38.017386146,127.244193448
17,18,825932817308,3.398,10.000000,38.011635000,127.245224000,985.000000,9129.909678,15672.214035,6542.304356,71.657931,1.828154,26.822455,22.463890,22.439250,21.875193,23.400197,26.822455,38.016575000,127.245030000,38.016575000,127.245030000,38.016953000,127.244360000,38.017062387,127.244087494,38.016920000,127.245705000,38.017027122,127.245922072,38.016210000,127.245674000,38.016151071,127.245918683,38.016243000,127.244385000,38.016147154,127.244167252
18,19,825932817499,3.589,10.000000,38.011696000,127.245224000,984.000000,7666.520803,12930.040140,5263.519338,68.655906,1.430554,24.366918,22.022267,23.405126,21.248280,22.760648,24.366918,38.015520000,127.244910000,38.015520000,127.244910000,38.015858000,127.244280000,38.015902401,127.244007940,38.015816000,127.245540000,38.015939803,127.245735854,38.015186000,127.245514000,38.015186785,127.245780868,38.015224000,127.244290000,38.015106415,127.244099152
19,20,825932817705,3.795,10.000000,38.011760000,127.245224000,984.000000,6558.663020,12037.115313,5478.452293,83.530016,1.284928,25.277828,25.597032,26.831968,27.524652,26.307870,27.524652,38.014572000,127.244750000,38.014572000,127.244750000,38.014885000,127.244150000,38.014852031,127.243864835,38.014843000,127.245346000,38.015031919,127.245512381,38.014275000,127.245320000,38.014307283,127.245623183,38.014313000,127.244160000,38.014092629,127.244017677
20,21,825932817911,4.001,10.000000,38.011820000,127.245224000,984.000000,5879.340841,11165.521351,5286.180510,89.911108,0.543416,30.787116,33.563374,31.719838,30.062769,31.533274,33.563374,38.013720000,127.244550000,38.013720000,127.244550000,38.014008000,127.243970000,38.013877013,127.243660836,38.013966000,127.245125000,38.014260556,127.245206689,38.013443000,127.245110000,38.013553529,127.245443350,38.013477000,127.243980000,38.013215852,127.243892675
21,22,825932818102,4.192,10.000000,38.011883000,127.245224000,983.000000,5424.677844,11140.160213,5715.482369,105.360770,0.528543,37.723075,95.013459,36.968787,93.841856,65.886794,95.013459,38.012920000,127.244316000,38.012920000,127.244316000,38.012688000,127.243760000,38.012858781,127.243388504,38.013190000,127.243750000,38.013565909,127.244722598,38.013157000,127.244870000,38.012981459,127.245227812,38.012660000,127.244865000,38.012271373,127.243915517
22,23,825932818307,4.397,10.000000,38.011944000,127.245230000,983.000000,5320.651448,11157.950595,5837.299146,109.710234,0.226969,34.138606,55.030743,33.798925,54.192424,44.290175,55.030743,38.012154000,127.244040000,38.012154000,127.244040000,38.011917000,127.243480000,38.011614542,127.243415693,38.012410000,127.243484000,38.012849787,127.243770545,38.012386000,127.244600000,38.012686784,127.244652554,38.011900000,127.244590000,38.011467132,127.244307280
