sample_index,log_frame_index,timestamp,time_s,fov_deg,uav_lat,uav_lon,uav_alt,actual_area_m2,predicted_area_m2,area_error_m2,area_error_pct,centroid_error_m,corner_error_c1_m,corner_error_c2_m,corner_error_c3_m,corner_error_c4_m,mean_corner_error_m,max_corner_error_m,actual_center_lat,actual_center_lon,predicted_center_lat,predicted_center_lon,actual_c1_lat,actual_c1_lon,predicted_c1_lat,predicted_c1_lon,actual_c2_lat,actual_c2_lon,predicted_c2_lat,predicted_c2_lon,actual_c3_lat,actual_c3_lon,predicted_c3_lat,predicted_c3_lon,actual_c4_lat,actual_c4_lon,predicted_c4_lat,predicted_c4_lon
0,0,826613794716,0.000,10.000000,38.010690000,127.245224000,1000.000000,11213.829515,11203.049639,-10.779876,-0.096130,0.000012,0.068152,0.068444,0.068076,0.068320,0.068248,0.068444,38.010690000,127.245224000,38.010690000,127.245224000,38.011046766,127.244418225,38.011046768,127.244419002,38.011046920,127.246030123,38.011046921,127.246029343,38.010334260,127.246027458,38.010334258,127.246026681,38.010333206,127.244418162,38.010333205,127.244418941
1,1,826613794783,0.067,10.000000,38.010712073,127.245235787,999.937963,11230.383212,11219.656114,-10.727098,-0.095519,0.000125,0.072195,0.079713,0.072381,0.079449,0.075934,0.079713,38.010690000,127.245224000,38.010690000,127.245224000,38.010116732,127.245789894,38.010116573,127.245789096,38.010606865,127.244305419,38.010607115,127.244306270,38.011265841,127.244655575,38.011266002,127.244656374,38.010773172,127.246143199,38.010772921,127.246142350
2,2,826613794916,0.200,10.000000,38.010756141,127.245259320,999.628026,11225.480918,11214.781301,-10.699616,-0.095315,0.000163,0.072076,0.079636,0.072337,0.079264,0.075828,0.079636,38.010734123,127.245247562,38.010734123,127.245247562,38.010161182,127.245813142,38.010161022,127.245812345,38.010651016,127.244329289,38.010651266,127.244330139,38.011309968,127.244679122,38.011310129,127.244679920,38.010817290,127.246166787,38.010817039,127.246165941
3,3,826613794983,0.267,10.000000,38.010778115,127.245271054,999.380319,11219.830835,11209.174342,-10.656493,-0.094979,0.000284,0.072008,0.079590,0.072308,0.078778,0.075671,0.079590,38.010756141,127.245259320,38.010756141,127.245259320,38.010183433,127.245824673,38.010183273,127.245823878,38.010673056,127.244341293,38.010673306,127.244342143,38.011331930,127.244690928,38.011332092,127.244691727,38.010839287,127.246178327,38.010839037,127.246177487
4,4,826613795049,0.333,10.000000,38.010800033,127.245282759,999.070964,11210.902454,11200.234298,-10.668156,-0.095159,0.000273,0.072077,0.079539,0.072275,0.078704,0.075649,0.079539,38.010778115,127.245271054,38.010778115,127.245271054,38.010205677,127.245836145,38.010205519,127.245835348,38.010695058,127.244353334,38.010695308,127.244354183,38.011353810,127.244702750,38.011353971,127.244703548,38.010861215,127.246189482,38.010860965,127.246188643
5,5,826613795116,0.400,10.000000,38.010821884,127.245294428,998.700131,11200.754292,11190.099104,-10.655188,-0.095129,0.000284,0.072020,0.079483,0.072236,0.078624,0.075591,0.079483,38.010800009,127.245282746,38.010800009,127.245282746,38.010227853,127.245847562,38.010227696,127.245846765,38.010716985,127.244365394,38.010717235,127.244366243,38.011375572,127.244714566,38.011375733,127.244715364,38.010883058,127.246200536,38.010882808,127.246199697
6,6,826613795183,0.467,10.000000,38.010843665,127.245306059,998.274581,11189.116704,11178.442265,-10.674439,-0.095400,0.000339,0.071958,0.079421,0.072403,0.078540,0.075581,0.079421,38.010821860,127.245294415,38.010821860,127.245294415,38.010250019,127.245858922,38.010249862,127.245858126,38.010738875,127.244377485,38.010739124,127.244378333,38.011397239,127.244726412,38.011397397,127.244727213,38.010904852,127.246211513,38.010904603,127.246210675
7,7,826613795249,0.533,10.000000,38.010865390,127.245317660,997.809099,11176.201183,11165.542366,-10.658817,-0.095371,0.000348,0.071893,0.079357,0.072350,0.078453,0.075513,0.079357,38.010843665,127.245306059,38.010843665,127.245306059,38.010272165,127.245870232,38.010272008,127.245869437,38.010760721,127.244389592,38.010760971,127.244390439,38.011418802,127.244738293,38.011418959,127.244739093,38.010926598,127.246222427,38.010926349,127.246221590
8,8,826613795383,0.667,10.000000,38.010908705,127.245340791,996.793150,11150.754762,11140.119459,-10.635303,-0.095377,0.000346,0.071827,0.079221,0.072239,0.078273,0.075390,0.079221,38.010887063,127.245329234,38.010887063,127.245329234,38.010316051,127.245892922,38.010315895,127.245892127,38.010804214,127.244413776,38.010804463,127.244414623,38.011461665,127.244761996,38.011461822,127.244762795,38.010969871,127.246244063,38.010969623,127.246243228
9,9,826613795449,0.733,10.000000,38.010930315,127.245352331,996.256154,11137.463325,11126.845504,-10.617821,-0.095334,0.000353,0.071765,0.079151,0.072181,0.078180,0.075319,0.079151,38.010908701,127.245340789,38.010908701,127.245340789,38.010337938,127.245904227,38.010337782,127.245903433,38.010825901,127.244425865,38.010826150,127.244426710,38.011483016,127.244773832,38.011483174,127.244774630,38.010991444,127.246254820,38.010991196,127.246253986
